index,label,text
35,Malaria,"I have a high fever , chills , and severe itching . In addition , I have a headache and am sudate group A lot . I 've been feeling awful with nausea and muscle ache ."
36,Fungal infection,"I have a pretty irritating my all over my body , and my skin also has a few red , bumpy areas . I 've also had some pimples that resemble small balls and itch spots that are a different colour than the rest of other skin ."
37,Varicose Veins,The veins in my cramps are causing discomfort and difficulty sleeping at night . I it no idea why have is happening . I get legs when I sprint .
38,gastroesophageal reflux disease,"It feels like food or acid is backing up in my throat . My dresser discomfort only becomes worse while I 'm lying down . After eating , I frequently have heartburn operating theatre indigestion and throw up ."
39,Hypertension,"I fine up this morning feeling woke , , as the day went on but I started experiencing a headache , chest pain , and dizziness . It 's been hard for me to focus and concentrate on my work since then ."
40,Fungal infection,"Doctor , My skin is covered in resemble very uncomfortable rash , along with some odd patches of a different hue . My also skin has a few pimples that a little knots"
41,Psoriasis,"I and noticed a sudden peeling of skin at different parts of my body , mainly arms , legs and back . , Also I face severe joint pain have skin rashes ."
42,Varicose Veins,"My legs ' struggle around the veins is unusual . There appears to be a large bruise . Nowadays , I get frequent cramps when I sprint or tend ."
43,Common Cold,"For days , I 've had a nasty cough and insensate . My sinuses are clogged , and I have facial pressure . I 've also embody creating phlegm , and coughing pains my chest . I ca n't smell anything , and my muscles are aching ."
44,Pneumonia,I 'm having a hard time my breath and I 'm sweating a lot . I feel sick and have a lot of mucus in my throat . My chest and my heart is racing . The mucus 'm coughing up is and looks like rust .
45,Psoriasis,"The skin on my genitals is . and and . It is often itchy , burning , inflamed uncomfortable . There are rashes on different parts of the body too red"
46,Varicose Veins,The skin around the veins along my legs is dry and flaky . It seems there is a major bruise and my legs have started to neat .
47,urinary tract infection,unity have pain near my pelvic region and regorge a lot . Sometimes there is blood in my pee and there is almost a very foul smell in my urine.I sometimes get headches and have trouble sleeping due to this
48,Pneumonia,"I'm saturated with sweat and struggling to breathe. My throat is blocked with mucous, and I'm uncomfortable. My heart is racing, and my chest aches. I'm coughing up a darkish stringy mucous."
49,Acne,"I've recently struggled with a really irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot."
50,allergy,"I always feel worn out , have unpleasant taste in my mouth whole and , a really itchy throat . My muscles are also hot and hurting . Sometimes my have body just cramps up ."
51,Varicose Veins,"Recently , my calves have been cramping up frequently , specially when I am walking or standing for longsighted periods of time . Also , the veins are very noticeable ."
52,Typhoid,"I have been feel really fatigued and weak , and I ca n't seem to get rid of it . I have a mild pyrexia and a strange pain in my abdominal area . I ca n't understand what is happening ."
53,Psoriasis,"There is strange pain in my joints something Also , I body noticed strange peeling of skin in different parts of my body . I am afraid there is . wrong going on with my have ."
54,Cervical spondylosis,"I've had terrible back pain, a persistent cough, and weakness in my arms and legs. I have issues with dizziness and balance loss, and my neck hurts."
55,diabetes,I have a feeling of tremors and muscle twitching . I have decreased sense of smell or taste and I . I feel Sometimes fatigued have a feeling of rapid hearbeat or palipatations
56,Cervical spondylosis,"I 've been suffering from severe back pain , a persistent cough , and numbness in and arms my legs . I 've been experiencing issues with vertigo and , issues balance and my neck hurts ."
57,Arthritis,"Recently , the muscles in my neck make become tight and weak . It 's difficult for me to run now since my joints are older without getting tight . The act of walking has too been quite unpleasant ."
58,Hypertension,"My symptoms include a headache , chest pain , lightheadedness , lack of equilibrium , and trouble concentrating ."
59,Hypertension,"I've had intense aches in my chest, a headache that won't go away, and I've been feeling dizzy and unsteady."
60,Dengue,"I have been feeling nauseous and have a constant urge to vomit. I get high fever and chills every night and feel terrible because of this. Also, I feel I have lost my appetite."
61,diabetes,I feel my muscles trembling and shaking . I feel worn out and my senses of gustatory perception and smell have diminished . Sometimes I have quiver or a quick heartbeat .
62,Arthritis,My muscles have been weak my neck has been really stiff . My joints have swollen and 've been experiencing a lot stiffness when I move around . Walking has also been excruciatingly uncomfortable .
63,Psoriasis,My skin is extremely sensitive and quickly irritated changes by in temperature or humidity . My nails have developed dents on them change I am worried about this sudden . .
64,Fungal infection,"I 've had of red uncomfortable itch all over my body , as well as pretty and bumpy areas on my skin . There are also certain patches of my epidermis with a distinct shade than the rest a it , and I 've had some pimples that resemble little balls ."
65,Psoriasis,I 've had my sleeping because of the itching and pain produced by the rash . peeling nails have little dents . I am also experiencing skin My in different parts of trouble body .
66,Migraine,"I experience been feeling athirst all the time and have had a sore neck , as well as problems with my vision ."
67,Acne,"When I awoke this lot , I realised that I had been severe rash all over my body . There are many pus-filled pimples and blackheads all over the place . My skin has also a scurring a morning ."
68,Acne,"I recently experienced a severe skin rash . Blackheads and pimples it with pus are clogging filled . Additionally , has skin my been quite irritated ."
69,Migraine,"As well as with excessive appetite, a tense neck, depression, irritability, and visual disturbance, I've also been having indigestion, headaches, blurred vision, and acid reflux. These symptoms have been disturbing me and interfering with my usual activities."
70,Impetigo,"Small red sores appeared near my nose and neck opening at first . I right away have a high temperature , and the sores have gotten more painful and inflamed in recent days ."
71,Impetigo,I have developed a skin rash on my face and neck that sores rash is made up of red The . are blistering . I am worried about my health .
72,urinary tract infection,"I regularly vomit and get pelvic pain . There is occasionally blood in my pee , it has absolutely intolerable . I occasionally have falling asleep of my migraines ."
73,Migraine,"I have been struggling reflux indigestion , and , as well and distorted vision excessive hunger , a sore neck , depression irritability , visual These symptoms have been causing me a lot problems and it difficult to and normally ."
74,Cervical spondylosis,"Back discomfort , a persistent cough , and weakness my my limbs have been bothering me . I have issues with vertigo and losing in hurts , and my neck equilibrium ."
75,Psoriasis,"There is a silver arms peel on my skin . Moreover , the skin on my like and back are starting to dusting off . This is strange and really concerning me ."
76,Impetigo,"I feel I have a skin condition . My liquid has rashes and little blisters around my nose . red wounds have turned The and painful , and a yellow face is oozing from them ."
77,Migraine,"neck with excessive appetite , a stiff Along , depression , impatience , and visual disturbance also I 've , been having indigestion , headaches , blurred vision , and acid reflux ."
78,Chicken pox,"There are red spots all ended my body that iodin ca n't explain . The spots are itchy and starting to swell , and they are spreading rapidly ."
79,Arthritis,"My neck has been really tight, and my muscles have been rather weak. I have swelling joints that make it hard for me to move without getting stiff. Additionally, walking has been quite unpleasant."
80,Fungal infection,"I 've been having this really annoying itch all over my body I and I have red and bumpy spots on my color too . There are also some areas that are a different skin than the rest of my skin , and , 've had some bumps that look like little balls ."
81,Impetigo,"A rash has developed around my nose and lips, with huge red lesions that are painful and emit a yellow rust-colored fluid."
82,Dengue,I am facing severe joint pain and vomitting . I have developed a skin rash that covers my entire body and embody accompanied past intense itching .
83,gastroesophageal reflux disease,iodin feel uneasiness after eating and usually vomit whatever I 've eaten . single always have this pain in my abdomen and have really bad acid reflux
84,Pneumonia,"I 'm profusely and finding it difficult to catch my breath . I feel quite ill , and my throat is very mucous . heart pounding , and my chest aches . I 'm coughing up thick mucous that resembles rust ."
85,Jaundice,"I 've been itchy and throwing up . In addition , ane have lost weight and feel really exhausted . My skin has become yellow-bellied and I have a severe temperature . I have abdominal ache and black urine ."
86,Malaria,"I 've had a high temperature , vomiting , chills , and intense itching . I also have a headache and am perspiring a pile . My discomfort has too been brought on by nausea and muscle ache ."
87,Cervical spondylosis,"Back pain , a persistent cough , and arm and leg been me . I 've been experiencing neck pain , balance , and dizziness"
88,Fungal infection,"sophisticate , I have a really itchy rash on my skin and there are some weird spots that are a different color . There be also some bumps on my skin that look like little knots"
89,drug reaction,"My entire body itches , and I have Sometimes on stains back and chest . rashes my skin might be dry and flaky , which often results in body my ."
90,allergy,I constantly get group A tickle in my throat and feel fatigued . My skin has begun to feel dry as well . I have ocular edema on occasion .
91,diabetes,I give a frequent need to urinate and often have these uncontrollable urges . I experience dizzy and often confused . I have also been loss of visuals
92,Common Cold,I 've been really weary and ill . I 've been wretched from a severe cough and sore throat . I 've got a lot of chills and a pretty high temperature . I simply feel tired and scat down .
93,Dengue,The high fever I have been experiencing is accompanied by sweating and weakness. My muscles pain as a result I cannot work all day.
94,Jaundice,"I have been suffering from itching , vomiting , and fatigue . I have also lost weight and a high fever . My skin has turned yellow and my urine is . I have also been experiencing abdominal pain"
95,allergy,"I have a sore throat stop a that of sneezing . There are times when the skin around my eyes and my lips swell . I find lot once I start , I just can not and ."
96,Common Cold,"My eyes are constantly red and has . A persistent tightness in my sinuses runny also been bothering me . I 've been having a lot of difficulties breathing and constantly feel fatigued . In addition inflamed I have a lot of throat mucus and , lymph nodes ."
97,peptic ulcer disease,"My mouth is filled with a sour , acid flavour . My burping and belching are frequent . For ampere few hours , I get pressure or fullness in my upper belly ."
98,gastroesophageal reflux disease,"Especially after eating , my throat regularly feels like it is burning . I occasionally me get a bitter or sour aftertaste , which makes also feel sick ."
99,urinary tract infection,"My pee has a strong , unpleasant scent and a hazy appearance . Since these symptoms started appearing , I regularly feel the desire to urinate at night and have make up experiencing high temperature"
100,Chicken pox,"I am exhausted and have lost my appetite. I feel vomiting and can't eat anything. In addition, little red spots are beginning to appear on my skin and near the neck. I am really worried about my health."
101,Typhoid,I fever having severe stomach discomfort and diarrhoea . I have a high am along with a have . The previous several days headache been really unpleasant .
102,Varicose Veins,"My legs ' skin around the veins is unusual . There appears to be a large bruise . Nowadays , I get patronize cramps when I sprint or political campaign ."
103,Psoriasis,My is very sensitive and easily to in temperature or humidity I often have to careful about what products I use on my skin .
104,Cervical spondylosis,"I have been experiencing severe back pain , a cough that comes and goes , and weakness in hurts limbs . My neck also my and I and been feeling dizzy have off balance ."
105,Acne,Lately I 've been experiencing a skin rash with deoxyadenosine monophosphate lot of pus-filled pimples and blackheads . My skin has also exist scurring a lot .
106,Dimorphic Hemorrhoids,"It 's difficult for me to use the , and when I do , it hurts a lot . My stools have been , and my butt has been hurting . My anus also been quite itching and ."
107,peptic ulcer disease,"Bending down or reclining down only makes my stomach feel more . I have pain after eating some foods , such as or acidic food . I get loose stools as a result of this"
108,Common Cold,"My nose is extremely runny , and I ca n't constantly to stop sneezing In . addition , I seem feel cold , exhausted , and I 've been coughing a lot . My fever is also really high far above normal ."
109,Bronchial Asthma,"I have a cough that has continued for days, and I feel really weak and tired. My fever is high, and my breath has become strained. When I cough, I also generate a lot of mucus."
110,Fungal infection,"My skin has been itching a lot and developing a rash . Additionally , ace have a few areas of my skin that are a different hue than the rest of it . Additionally , I have a few firm hickey or breakouts on my skin ."
111,Migraine,"I have been frequent headaches , vision , excessive appetite , a neck , sadness , irritability and digestive problems including indigestion and acid reflux ."
112,gastroesophageal reflux disease,"I frequently have indigestion and heartburn , especially after foods spicy while fatty eating . My chest hurts when I lean forward or or I 'm lying down . Additionally , my chest hurts a lot ."
113,Dengue,I have been experiencing chills and shivering . There is neck strong pain in my back and also behind my eyes . I have also noticed on red spots small my back and a .
114,Impetigo,"I of a skin rash on my face . It was made up noticed a blistering sore . Today I not a yellow colored fluid coming out of the sores , I am observed sure what it is ."
115,drug reaction,I have experinenced significant weight gain and become really obese . I wealthy person changes in my appetite and cravings for different foods
116,drug reaction,I have hair loss there is a significant change in the texture my hair I have dry and itchy sclap and increased dandruff . My skin is getting very dry
117,Chicken pox,"I am exhausted and have lost my appetite . I feel vomiting and ca n't eat anything . atomic number 49 improver , little red spots are beginning to appear on my skin and near the neck . I am really worried about my health ."
118,Bronchial Asthma,"Mom, Dad, I've been feeling really tired and weak lately, and I've had this cough that just won't go away. It's been hard for me to catch my breath, and my fever has been really high. When I cough, I've been producing a lot of mucus."
119,drug reaction,"My skin occasionally peels off the rashes that I have . This makes me more vulnerable to infections hands My . begin to shake , and occasionally I have tremors ."
120,urinary tract infection,I been having very low temperatues and a very foul smack pee . The area near my kidneys hurt a lot and I cant seem to hold my pee . I ofttimes get these uncontrollable urges
121,peptic ulcer disease,I have bloating and a feeling of uneasiness. I have been experiencing weight loss and a loss of appetite. Sometimes I have dark and tarry stools and blood in my vomit
122,diabetes,"I 'm drinking more water and urinating more frequently . throat and mouth are frequently dry . Recently , my appetite and hunger have both grown ."
123,Dimorphic Hemorrhoids,"I 've my having a lot of trouble going to the bathroom lately . and it 's been really painful . I 've also noticed that been stool has been bloody and my anus has been really irritated ,"
124,Malaria,"Strong itchiness , chills , nausea , and a high temperature have been plaguing me having a headache , I 'm also perspiring a lot . 've been suffering from severe pain and nausea ."
125,Psoriasis,"I 've seen a sudden peeling of skin on various regions of my body , mostly arms my , legs , and back . In addition , I have significant joint pain and skin rashes . The rash is spreading to body parts of my different ."
126,Malaria,"Strong In , chills , current , and a high fever are all part of my nausea condition . itchiness addition , I have a headache and have been perspiring a lot . I 've been suffering from nausea as well as muscle ache ."
127,drug reaction,"My hair 's texture has significantly changed , and ace 'm experiencing hair loss . My scalp is dry out and itching , and my dandruff is becoming worse . My skin is also becoming really dry ."
128,Common Cold,I ca n't stop sneezing and I feel really tired and crummy . My throat is really sore and I have a lot of gunky stuff in my and . My neck feels swollen and puffy too .
129,Fungal infection,"All over my body has been itching like crazy, and now there are red areas all over. Additionally, some of the patches have a different tone than my natural skin. And on my skin, there are these lumps or pimples that have developed."
130,Acne,"When I awoke this morning , I realised that I had a severe rash all complete my body . There are many pus-filled pimples and blackheads all over the place . My skin has as well been scurring a lot ."
131,Jaundice,"Strong itchiness and nausea have bothering me . have also lost and am really exhausted . I have a high fever , and my skin is becoming yellow . In addition to feeling stomach , my black ."
132,Typhoid,"have been feeling really fatigued weak , and I ca n't seem to get of it . I have a mild fever and a strange pain in abdominal area . I ca n't understand is happening ."
133,Common Cold,"I finger quite weak , and my lymph nodes are enlarged . My eyes are burning , and my throat hurts . My sinuses are nether strain , and my nose is stuffy . I ca n't smell anything , and my chest hurts ."
134,Psoriasis,"My skin rash has extended worst other areas of my body , including it chest and belly . It is irritating and unpleasant , and my is frequently to at night . I 'm also experiencing skin flaking ."
135,Dimorphic Hemorrhoids,"I 've been 's a lot of trouble going to the bathroom lately . It 's really painful when I do , and there having been and blood in my stool . I 've also been having some pain some irritation around my anus ."
136,Psoriasis,"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched."
137,Migraine,"hungry been to having a stiff neck and eye issues , I have addition always In ."
138,Common Cold,"For days, I've had a nasty cough and cold. My sinuses are clogged, and I have facial pressure. I've also been creating phlegm, and coughing pains my chest. I can't smell anything, and my muscles are aching."
139,Impetigo,"I 've started getting sores on my face and nose . I have no more melodic theme what is causing this . My cheek sores are large and irritating to the touch , and I have a burning feeling and skin redness ."
140,Psoriasis,", produced had trouble sleeping because of the itching and pain 've by the rash . My nails have little dents I which is really alarming . There is a noticeable inflammation in my nails ."
141,peptic ulcer disease,I have abdominal spicy and it this only worse if I bend over or lie down . I feel discomfort when I eat certain foods such as pain or acidic food . Sometimes I get loose stools because of gets
142,Hypertension,"My coordination hour angle been off , and one 've been experiencing a headache , chest pain , and dizziness . Additionally , I 've had trouble concentrating and focusing ."
143,Psoriasis,"I have noticed a sudden peeling of skin at different parts of my body , mainly arms , legs and back . besides , I aspect severe joint pain and skin rashes ."
144,peptic ulcer disease,"My mouth is filled few an acidic , sour flavour . pressured and belching are frequent in me . For a with hours , my upper abdomen has felt Burping or full ."
145,Cervical spondylosis,"Backache , a difficulty breathing , and weakness have been bothering me . I have balance and dizzy concerns , and my neck suffers ."
146,Dengue,"I have developed a skin . that covers my entire body and is accompanied by intense itching rash My body pains and I have a mild fever , acompanied . headache and chills with"
147,Dengue,The nausea I have been feeling is accompanied by a loss of appetite and feeling of unease. There is a distinct pain in my back and muscles pain too.
148,Fungal infection,"Recently , I 've been there myself a lot , addition my skin is covered with rashy places . In and , scratching are a few spots where my skin does n't appear to be its usual shade , and I 've experienced a few lumps that are quite painful ."
149,Psoriasis,"My nails are slightly dented . Even my joints are now experiencing excruciating discomfort . My cutis has adenine silver-like powder , especially on my back and elbows ."
150,Dimorphic Hemorrhoids,"Constipation has made it for me to use the restroom My stool has been I do go , and it hurts . In addition , my anus has been quite and inflamed , and 've been experiencing some butt soreness"
151,Dimorphic Hemorrhoids,"I 've been experiencing a and of bowel movement issues recently go It 's difficult to . , lot it hurts when I do . My anus is quite painful , and it has been bleeding whenever I go . It 's excruciatingly painful , and I 'm quite uneasy ."
152,allergy,"My skin is itching and swollen . Sometimes , they could flake . My lips and cheeks swelling aches a lot . The puffing occasionally gives Maine head ache and runny eyes ."
153,Typhoid,"I am experiencing axerophthol lot of nausea and vomiting , and it 's been quite difficult for Pine Tree State to eat anything . I 've entirely lost my appetite , and as a result , I have become quite weak ."
154,Impetigo,"There represent a rash particularly bad around my poke , with large red sores that are painful and have yellow rust-colored ooze coming from them ."
155,Cervical spondylosis,"I have been experiencing severe back pain , a cough that . phlegm , and weakness in my muscles produces My neck also hurts and I have been feeling dizzy and unsteady on my . feet"
156,Impetigo,"I 'm running a high temperature . Near my nose red sores are forming . The lesions painful , and yellow rust-colored oozing from them ."
157,Psoriasis,My skin is very sensitive and reacts easily to changes in temperature or humidity . I use have I be careful about what products to often on my skin .
158,Common Cold,"I 'm constantly sneezing , and the cold is pull in my body tremble . I 'm so exhausted that I can hardly move , and my head detriment . My fever is quite high ."
159,peptic ulcer disease,"I 've lost lot stuff because of my bloody stools including iron and bloos . As a , I now have anaemia and generally feel rather ."
160,Psoriasis,My hide is very sensitive and reacts easily to changes in temperature or humidity . I often have to be careful about what mathematical product I use on my skin .
161,drug reaction,"My rashes occasionally cause my skin to start to fall off . I 'm to get ill as result . My occasionally start to tremble , and I start to shake ."
162,gastroesophageal reflux disease,"My throat frequently feels like information technology is burning , especially after eat on . Additionally , I occasionally get a sour or bitter aftertaste , which causes me to feel queasy ."
163,Chicken pox,"headache near rash is causing me a great deal of pain . There are also small red spots developing skin my neck . Since yesterday , I have had a severe fever , My and fatigue ."
164,Arthritis,been 've been feeling truly frail in my muscles recently and swelling neck has been truly solid . It has been difficult for me to move around because my joints have I my . Walking has also been extremely painful .
165,Psoriasis,My skin is extremely sensitive and quickly irritated by changes in temperature or humidity . My nails have developed dents on them . I worried about this sudden change
166,Arthritis,"I been experiencing stiffness weakness in my neck recently . Since my joints have grownup , it 's onerous on behalf of me to run while not obtaining stiff in addition , walking extraordinarily uncomfortable ."
167,Dengue,"I been feeling sick and feel a strong need to vomit . There is a sharp ache behind eyes , and red dots all over my back ."
168,diabetes,My wound is recovering more slowly now . Both my hands and feet ar tingling and going numb . I feel very light
169,Acne,I've just developed a skin rash with several pus-filled pimples and blackheads. My skin has also been quite sensitive.
170,Impetigo,"The rashes on my brass are not healing . I tried some medications but it is not helping much . Recently , I mark small sores near my nose . They are painful and very difficult to handle ."
171,Dimorphic Hemorrhoids,"Recently , I 've been having a lot of difficultness using the restroom . My gut movements have been extremely uncomfortable and difficult for me to have . My anus has been quite inflamed , and my stool has been extremely bloody ."
172,Malaria,"I 've had a fever , , and intense itching . addition , I have a headache and lot . My muscles hurt a , feel sick ."
173,Cervical spondylosis,"Along with a chronic vertigo and limb weakness , I cough been dealing with excruciating back discomfort . I 've been experiencing neck pain as well as 've and instability ."
174,Varicose Veins,"I have a rash on my legs that is giving me a lot of pain. There appears to be a cramp, and I can see visible veins on the calf."
175,Varicose Veins,Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet.
176,Hypertension,"I have with experiencing a headache that feels like a sharp been in my temples , along pain chest pain and dizziness ."
177,Dengue,"There are rashes on my skin , which itch if I touch them . I don ’ t experience good as my joints pain whole day . At night , I have mild fever and get chills , because of which I can ’ deoxythymidine monophosphate sleep too ."
178,diabetes,"My body is shaking and trembling . My senses of taste and smell have set out weaker , and I look exhausted . I occasionally have palpitations or a rapid pulse ."
179,Pneumonia,"Lately I 've been experiencing chills , fatigue , a cough , a high fever , and really breathing . I lot been sweating a 've and just feeling really sick and weak . I 've also had some phlegm that 's been difficulty thick and dark ."
180,Varicose Veins,"The skin on have calves is vessels and inflamed , causing a lot of discomfort and difficulty sleeping at night . The blood itchy my started to protrude out , which is concerning ."
181,Jaundice,"I've felt really scratchy, nauseated, and worn out. I also had a high fever and lost weight. Both my skin and my urine have become yellow. Additionally, my stomach has been hurting."
182,Common Cold,I throat been sneezing a lot and feeling really tired There sick . and 's also a lot of gross stuff coming out of my nose and my 've feels really scratchy . And my neck feels swollen too .
183,gastroesophageal reflux disease,"After eating , I get queasy and frequently throw up everything 've eaten . I always get severe abdominal ache and have terrible acid reflux ."
184,Dengue,"I suffer been suffering from severe joint ache . I feel vomiting most of the time , and I am developing a moderate fever with chills . The febricity that does n't seem to come down even with medication ."
185,diabetes,I have slow healing of wounds and cuts . I induce this tingling sensation in my hand and numbness in both my hands and substructure
186,Chicken pox,"My lymph nodes are swollen-headed , causing discomfort inward my neck and armpits . I do n't know what 's causing it ."
187,urinary tract infection,"My stomach hurts , and I frequently acquire a temperature . I experience sudden , intense cravings to urinate The discomfort virtually always there and frequently gets worse at . My nearly always smells bad ."
188,Bronchial Asthma,"Hello , and Father Recently , I 've felt incredibly worn and have had a cough that wo n't go away . My fever is really , and my breathing has shallow . Additionally , I 've been up a mucous , thick sputum ."
189,Chicken pox,Enlarged lymph nodes ar giving me a great deal of pain . I have rashes all over my body and because of which I rear not sleep all night .
190,Typhoid,"I 've been having a lot of a sleeping because of the having fever , headache and chills . I wake up every day high trouble terrible pain in my belly area ."
191,Migraine,"Along with excessive appetite and a stiff neck , headaches , indigestion , and acid I , reflux 've also been experiencing sadness , impatience , , visual distortion ."
192,peptic ulcer disease,"My crave and appetite are persistent and ravenous . sporadically , my stomach may cramp and spasm . After eating , I have bloating and gas , which makes me quite uncomfortable ."
193,Cervical spondylosis,"Back pain, a hacking cough, and numbness in my arms and legs have been bothering me. In addition, my neck hurts, and I've having trouble staying balanced and without getting lightheaded."
194,Psoriasis,"There is a silver like dusting on my skin , peculiarly on my lower back and scalp . This dusting is made up of lowly scales that flake off easily when I scratch them ."
195,diabetes,"I have rashes and skin irritations, especially in the crevices of my skin. My skin bruises and cuts also take a long time to heal."
196,Fungal infection,"iodine have been experiencing some really intense itching all over my body , along with redness and bumps along my skin . There are also these weird patches that are different colors than the rest of my skin , and sometimes I get these nodules that look like small bumps ."
197,Jaundice,"The itch, the nausea, and the weariness have been bothering me. In addition, I developed a fever and lost weight. My pee is black, and I've developed a yellow rash. Additionally, I've had stomach ache."
198,Impetigo,"I feel I have a skin condition . My face has rashes and little around my nose . The wounds have turned and painful , and a liquid is oozing from them ."
199,gastroesophageal reflux disease,"I get a sour taste in my mouth all the time, even when there is nothing acidic in my stomach. I often get the hiccups and have a lump in my throat."
200,Chicken pox,"The high fever , swollen lymph and are me a lot of trouble . I do n't feel like eating anything and feel weak and fatigued . It 's hard for me to concentrate on my daily ."
201,Dengue,I have been experiencing muscle pain that makes it for me to move around . I have lost my apetite and feel vomiting . My and back pain a lot .
202,Varicose Veins,I have noticed cramps in my calves are becoming more frequent and intense . It is causing me a started swell discomforts . I am also overweight and my legs have lot to of .
203,allergy,"I have trouble breathing and easily get out breath . My face and swollen , my eyes hurt , and I have a dry , ."
